Cruise,Cruise_ID_2,Month_local,Year_local,class,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
18,CAR-018,4,1997,Bacillariophyceae,671.12,403.25,257.68399999999997,497.84399999999994,8.1378,38.3994,34.114,16.297,1877.5430830000003
18,CAR-018,4,1997,Coccolithophyceae,30.1,11,9.25,15.37,5.25,2.5,0.5,0,73.505
18,CAR-018,4,1997,Dinophyceae,7.65,4.51,3.29,4.034,3.065,0.0417,0.0895,0,22.616
19,CAR-019,5,1997,Bacillariophyceae,1167.8899999999994,700.4399999999999,190.814,199.713,4.5877,294.2985,18.4531,2.9567,2560.21284
19,CAR-019,5,1997,Coccolithophyceae,21.1,1,7.0649999999999995,2.5,0,0.057,0,0,31.752000000000002
19,CAR-019,5,1997,Dinophyceae,2.31,3,5.949000000000001,3.8169999999999997,0.0417,0,0,0.043,15.123000000000001
20,CAR-020,6,1997,Bacillariophyceae,1164.2099999999996,688.74,186.081,199.713,4.5877,294.2985,18.4531,2.9567,2540.01154
20,CAR-020,6,1997,Coccolithophyceae,21.1,1,7.0649999999999995,2.5,0,0.057,0,0,31.752000000000002
20,CAR-020,6,1997,Dinophyceae,2.31,3,5.949000000000001,3.8169999999999997,0.0417,0,0,0.043,15.123000000000001
21,CAR-021,7,1997,Bacillariophyceae,347.54999999999995,236.67000000000002,218.25599999999997,37.66,4.149,0.0435,1.6119999999999999,0.062,845.9675000000001
21,CAR-021,7,1997,Coccolithophyceae,8.41,18,0.106,1.069,0,0.8335,0,0,28.4405
21,CAR-021,7,1997,Dinophyceae,8.219999999999999,0.6000000000000001,0.7410000000000001,1.8819999999999997,0,1.503,0.062,0.031,12.981000000000002
23,CAR-023,9,1997,Bacillariophyceae,0.5,1,0.801,0.76,0.0415,0.1635,0.218,3.4314999999999998,3.3009999999999997
23,CAR-023,9,1997,Coccolithophyceae,0,0,0,0.51,7.6025,0,0,0,8.113
23,CAR-023,9,1997,Dinophyceae,0.12,0.16,0.041,0,7.8565000000000005,0.524,0,0.192,8.712499999999999
24,CAR-024,10,1997,Bacillariophyceae,0,0,1.4330000000000003,2.005,7.93,17.106000000000005,3.4699999999999998,0.432,28.475
24,CAR-024,10,1997,Coccolithophyceae,0,0,0,0,0,0.76,0,0,0.76
