AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
233352,https://www.marinespecies.org/aphia.php?p=taxdetails&id=233352,Cladopyxis setifera,"Lohmann, 1902",unaccepted,synonym,220,Species,109993,Micracanthodinium setiferum,"(Lohmann) Deflandre, 1937",109509,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Cladopyxidaceae,Cladopyxis,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cladopyxis setifera Lohmann, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=233352 on 2023-06-09",urn:lsid:marinespecies.org:taxname:233352,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
235877,https://www.marinespecies.org/aphia.php?p=taxdetails&id=235877,Periphyllophora mirabilis,"(Schiller) Kamptner, 1937",accepted,NA,220,Species,235877,Periphyllophora mirabilis,"(Schiller) Kamptner, 1937",235843,Chromista,Haptophyta,Coccolithophyceae,Coccolithales,Calyptrosphaeraceae,Periphyllophora,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Periphyllophora mirabilis (Schiller) Kamptner, 1937. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=235877 on 2023-06-09",urn:lsid:marinespecies.org:taxname:235877,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
235970,https://www.marinespecies.org/aphia.php?p=taxdetails&id=235970,Pontosphaera discopora,"Schiller, 1930",accepted,NA,220,Species,235970,Pontosphaera discopora,"Schiller, 1930",115082,Chromista,Haptophyta,Coccolithophyceae,Zygodiscales,Pontosphaeraceae,Pontosphaera,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pontosphaera discopora Schiller, 1930. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=235970 on 2023-06-09",urn:lsid:marinespecies.org:taxname:235970,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
163055,https://www.marinespecies.org/aphia.php?p=taxdetails&id=163055,Chaetoceros protuberans,"Lauder, 1864",unassessed,NA,220,Species,163055,Chaetoceros protuberans,"Lauder, 1864",148985,Chromista,Bacillariophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2023). DiatomBase. Chaetoceros protuberans Lauder, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=163055 on 2023-06-09",urn:lsid:marinespecies.org:taxname:163055,1,NA,NA,0,0,exact,2018-01-31T09:33:29.450Z
109971,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109971,Ceratium pavillardii,"Jørgensen, 1911",unaccepted,NA,220,Species,841744,Tripos pavillardii,"(Jørgensen) F.Gómez, 2021",109506,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium pavillardii Jørgensen, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109971 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109971,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
160554,https://www.marinespecies.org/aphia.php?p=taxdetails&id=160554,Distephanus,"E.Stöhr, 1880",unaccepted,NA,180,Genus,836683,Stephanocha,"K.McCartney & R.W.Jordan, 2015",157257,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Distephanus,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Distephanus E.Stöhr, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=160554 on 2023-06-09",urn:lsid:marinespecies.org:taxname:160554,1,NA,NA,NA,NA,exact,2023-04-11T06:15:42.320Z
110311,https://www.marinespecies.org/aphia.php?p=taxdetails&id=110311,Prorocentrum rostratum,"F.Stein, 1883",accepted,NA,220,Species,110311,Prorocentrum rostratum,"F.Stein, 1883",109566,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum rostratum F.Stein, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110311 on 2023-06-09",urn:lsid:marinespecies.org:taxname:110311,1,NA,NA,NA,NA,exact,2019-07-12T06:20:28.783Z
232546,https://www.marinespecies.org/aphia.php?p=taxdetails&id=232546,Akashiwo sanguinea,"(K.Hirasaka) Gert Hansen & Moestrup, 2000",accepted,NA,220,Species,232546,Akashiwo sanguinea,"(K.Hirasaka) Gert Hansen & Moestrup, 2000",231787,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Akashiwo sanguinea (K.Hirasaka) Gert Hansen & Moestrup, 2000. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=232546 on 2023-06-09",urn:lsid:marinespecies.org:taxname:232546,1,NA,NA,NA,NA,exact,2019-04-10T08:28:44.473Z
162385,https://www.marinespecies.org/aphia.php?p=taxdetails&id=162385,Arthrospira,"Sitzenberger ex Gomont, 1892",accepted,NA,180,Genus,162385,Arthrospira,"Sitzenberger ex Gomont, 1892",836366,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae,Arthrospira,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Arthrospira Sitzenberger ex Gomont, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=162385 on 2023-06-09",urn:lsid:marinespecies.org:taxname:162385,1,NA,1,1,NA,exact,2012-07-04T13:40:04.623Z
109958,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109958,Ceratium inflatum,"(Kofoid) E.G.Jørgensen, 1911",unaccepted,NA,220,Species,837455,Tripos inflatus,"(Kofoid) F.Gómez, 2013",109506,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium inflatum (Kofoid) E.G.Jørgensen, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109958 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109958,1,NA,NA,NA,NA,exact,2019-10-04T07:04:14.930Z
